SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #5113,Chicago,IL,60613,215000,1,1.0,CHI - Lake View,768,,1973,102,280,721,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-5113/home/12683099,MRED,11138064,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4432 N Magnolia Ave Unit 2N,Chicago,IL,60640,439995,3,2.0,CHI - Uptown,1600,,,104,275,300,Active,,,http://www.redfin.com/IL/Chicago/4432-N-Magnolia-Ave-60640/unit-2N/home/145300515,MRED,11137226,N,Y,41.9627072,-87.6613159
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1005,Chicago,IL,60613,162000,0,1.0,CHI - Lake View,550,,1973,105,295,340,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1005/home/12622165,MRED,11135699,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,,Chicago,IL,60613,219900,2,1.5,CHI - Uptown,1100,,1977,108,200,485,Active,,,http://www.redfin.com/IL/Chicago/Undisclosed-address-60613/home/12795528,MRED,11132067,N,Y,41.9576643,-87.6482805
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #4005,Chicago,IL,60613,140000,0,1.0,Park Place Tower,550,,1973,109,255,506,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-4005/home/12613557,MRED,11130554,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,3900 N Lake Shore Dr Unit 13G,Chicago,IL,60613,134000,1,1.0,CHI - Lake View,,,1958,109,,764,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Lake-Shore-Dr-60613/unit-13G/home/13378637,MRED,11130381,N,Y,41.9532673,-87.6452796
MLS Listing,,Condo/Co-op,3750 N Lake Shore Dr Unit 5F,Chicago,IL,60613,300000,3,2.5,CHI - Lake View,2400,,1926,109,125,2475,Active,,,http://www.redfin.com/IL/Chicago/3750-N-Lake-Shore-Dr-60613/unit-5F/home/175518552,MRED,11130015,N,Y,41.9519345,-87.6453299
MLS Listing,,Condo/Co-op,4144 N Sheridan Rd #403,Chicago,IL,60613,174900,1,1.0,CHI - Uptown,600,,,110,292,198,Active,,,http://www.redfin.com/IL/Chicago/4144-N-Sheridan-Rd-60613/unit-403/home/18939252,MRED,11129762,N,Y,41.9578062,-87.6552229
MLS Listing,,Condo/Co-op,4428 N Racine Ave Unit GN,Chicago,IL,60613,325000,2,2.0,CHI - Uptown,1226,,1910,113,265,210,Active,,,http://www.redfin.com/IL/Chicago/4428-N-Racine-Ave-60640/unit-GN/home/18928926,MRED,11105878,N,Y,41.962589,-87.660014
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #2511,Chicago,IL,60613,159900,1,1.0,Park Place Tower,720,,1973,115,222,509,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-2511/home/12671337,MRED,11124372,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #2607,Chicago,IL,60613,189800,1,1.0,CHI - Lake View,600,,1973,120,316,470,Active,October-9-2021 11:00 AM,October-9-2021 01:00 PM,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-2607/home/12683738,MRED,10948698,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,720 W Gordon Ter Unit 22C,Chicago,IL,60613,275000,2,2.0,CHI - Uptown,1145,,1964,125,240,810,Active,,,http://www.redfin.com/IL/Chicago/720-W-Gordon-Ter-60613/unit-22C/home/13396021,MRED,11112709,N,Y,41.9582919,-87.6485882
MLS Listing,,Condo/Co-op,3900 N Lake Shore Dr Unit 12B,Chicago,IL,60613,165000,1,1.0,CHI - Lake View,850,,1955,127,194,838,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Lake-Shore-Dr-60613/unit-12B/home/13378481,MRED,11110191,N,Y,41.9532673,-87.6452796
MLS Listing,,Townhouse,3900 N Fremont St Unit C,Chicago,IL,60613,495000,3,2.5,CHI - Lake View,1623,,1993,135,305,150,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Fremont-St-60613/unit-C/home/13383724,MRED,11100929,N,Y,41.9529953,-87.6522454
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #4614,Chicago,IL,60613,218000,1,1.0,Park Place Tower,849,,1973,137,257,652,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-4614/home/12683107,MRED,11098585,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,700 W Bittersweet Pl #1009,Chicago,IL,60613,125000,1,1.0,CHI - Uptown,,,1951,140,,481,Active,,,http://www.redfin.com/IL/Chicago/700-W-Bittersweet-Pl-60613/unit-1009/home/13396155,MRED,11096718,N,Y,41.9558616,-87.6474346
MLS Listing,,Condo/Co-op,4250 N Marine Dr #1208,Chicago,IL,60613,180000,1,1.0,Imperial Towers,900,,1962,141,200,599,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-1208/home/13396383,MRED,11095366,N,Y,41.9598845,-87.647122
MLS Listing,,Condo/Co-op,4343 N Clarendon Ave #1812,Chicago,IL,60613,190000,1,1.0,CHI - Uptown,750,,1972,142,253,675,Active,,,http://www.redfin.com/IL/Chicago/4343-N-Clarendon-Ave-60613/unit-1812/home/13398009,MRED,11092643,N,Y,41.9612878,-87.6494037
MLS Listing,,Condo/Co-op,3950 N Lake Shore Dr #1824,Chicago,IL,60613,209000,2,1.0,CHI - Lake View,1000,,1957,147,209,765,Active,,,http://www.redfin.com/IL/Chicago/3950-N-Lake-Shore-Dr-60613/unit-1824/home/13380073,MRED,11087619,N,Y,41.954247,-87.6458578
MLS Listing,,Condo/Co-op,4343 N Clarendon Ave #1108,Chicago,IL,60613,159900,1,1.0,CHI - Uptown,580,,1974,154,276,429,Active,,,http://www.redfin.com/IL/Chicago/4343-N-Clarendon-Ave-60613/unit-1108/home/12557449,MRED,11080638,N,Y,41.9612878,-87.6494037
MLS Listing,,Condo/Co-op,3900 N Lake Shore Dr Unit 5H,Chicago,IL,60613,149000,1,1.0,CHI - Lake View,850,,1958,155,175,611,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Lake-Shore-Dr-60613/unit-5H/home/13378279,MRED,11078024,N,Y,41.9532673,-87.6452796
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #2110,Chicago,IL,60613,275000,2,2.0,CHI - Lake View,1150,,1973,157,239,840,Active,October-9-2021 12:00 PM,October-9-2021 01:00 PM,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-2110/home/12618190,MRED,11075425,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,3950 N Lake Shore Dr Unit 2126E,Chicago,IL,60613,129900,1,1.0,CHI - Lake View,700,,1957,158,186,658,Active,,,http://www.redfin.com/IL/Chicago/3950-N-Lake-Shore-Dr-60613/unit-2126E/home/175051017,MRED,11074799,N,Y,41.954247,-87.6458578
