Date,LMP,HUB
10/27/2018 6:00:00 AM,34.75,MICHIGAN.HUB
10/27/2018 6:00:00 AM,31.66,MINN.HUB
10/27/2018 6:00:00 AM,27.2,MS.HUB
10/27/2018 6:00:00 AM,27.04,TEXAS.HUB
10/27/2018 7:00:00 AM,28.22,ARKANSAS.HUB
10/27/2018 7:00:00 AM,33.54,ILLINOIS.HUB
10/27/2018 7:00:00 AM,34.79,INDIANA.HUB
10/27/2018 7:00:00 AM,28.67,LOUISIANA.HUB
10/27/2018 7:00:00 AM,35.58,MICHIGAN.HUB
10/27/2018 7:00:00 AM,32.56,MINN.HUB
10/27/2018 7:00:00 AM,28.61,MS.HUB
10/27/2018 7:00:00 AM,28.18,TEXAS.HUB
10/27/2018 8:00:00 AM,29.6,ARKANSAS.HUB
10/27/2018 8:00:00 AM,34.74,ILLINOIS.HUB
10/27/2018 8:00:00 AM,36.08,INDIANA.HUB
10/27/2018 8:00:00 AM,29.98,LOUISIANA.HUB
10/27/2018 8:00:00 AM,36.8,MICHIGAN.HUB
10/27/2018 8:00:00 AM,32.65,MINN.HUB
10/27/2018 8:00:00 AM,30.03,MS.HUB
10/27/2018 8:00:00 AM,29.31,TEXAS.HUB
10/27/2018 9:00:00 AM,28.91,ARKANSAS.HUB
10/27/2018 9:00:00 AM,41.53,ILLINOIS.HUB
10/27/2018 9:00:00 AM,43.1,INDIANA.HUB
10/27/2018 9:00:00 AM,29.17,LOUISIANA.HUB
10/27/2018 9:00:00 AM,44.06,MICHIGAN.HUB
10/27/2018 9:00:00 AM,39.37,MINN.HUB
10/27/2018 9:00:00 AM,29.28,MS.HUB
10/27/2018 9:00:00 AM,28.72,TEXAS.HUB
10/27/2018 10:00:00 AM,28.73,ARKANSAS.HUB
10/27/2018 10:00:00 AM,41.48,ILLINOIS.HUB
10/27/2018 10:00:00 AM,43.09,INDIANA.HUB
10/27/2018 10:00:00 AM,29.03,LOUISIANA.HUB
10/27/2018 10:00:00 AM,44.03,MICHIGAN.HUB
10/27/2018 10:00:00 AM,39.74,MINN.HUB
10/27/2018 10:00:00 AM,29.05,MS.HUB
10/27/2018 10:00:00 AM,28.8,TEXAS.HUB
10/27/2018 11:00:00 AM,27.85,ARKANSAS.HUB
10/27/2018 11:00:00 AM,32.69,ILLINOIS.HUB
10/27/2018 11:00:00 AM,33.89,INDIANA.HUB
10/27/2018 11:00:00 AM,28.19,LOUISIANA.HUB
10/27/2018 11:00:00 AM,34.66,MICHIGAN.HUB
10/27/2018 11:00:00 AM,31.71,MINN.HUB
10/27/2018 11:00:00 AM,28.12,MS.HUB
10/27/2018 11:00:00 AM,28.08,TEXAS.HUB
10/27/2018 12:00:00 PM,27.63,ARKANSAS.HUB
10/27/2018 12:00:00 PM,28.75,ILLINOIS.HUB
10/27/2018 12:00:00 PM,29.78,INDIANA.HUB
10/27/2018 12:00:00 PM,28.05,LOUISIANA.HUB
10/27/2018 12:00:00 PM,30.44,MICHIGAN.HUB
10/27/2018 12:00:00 PM,28.03,MINN.HUB
10/27/2018 12:00:00 PM,27.88,MS.HUB
10/27/2018 12:00:00 PM,28.06,TEXAS.HUB
10/27/2018 1:00:00 PM,26.91,ARKANSAS.HUB
10/27/2018 1:00:00 PM,27.93,ILLINOIS.HUB
10/27/2018 1:00:00 PM,28.88,INDIANA.HUB
10/27/2018 1:00:00 PM,27.49,LOUISIANA.HUB
10/27/2018 1:00:00 PM,29.54,MICHIGAN.HUB
10/27/2018 1:00:00 PM,27.32,MINN.HUB
10/27/2018 1:00:00 PM,27.2,MS.HUB
10/27/2018 1:00:00 PM,27.59,TEXAS.HUB
10/27/2018 2:00:00 PM,26.47,ARKANSAS.HUB
10/27/2018 2:00:00 PM,27.41,ILLINOIS.HUB
10/27/2018 2:00:00 PM,28.37,INDIANA.HUB
10/27/2018 2:00:00 PM,27.09,LOUISIANA.HUB
10/27/2018 2:00:00 PM,29.03,MICHIGAN.HUB
10/27/2018 2:00:00 PM,26.65,MINN.HUB
10/27/2018 2:00:00 PM,26.74,MS.HUB
10/27/2018 2:00:00 PM,27.4,TEXAS.HUB
10/27/2018 3:00:00 PM,26.49,ARKANSAS.HUB
10/27/2018 3:00:00 PM,27.34,ILLINOIS.HUB
10/27/2018 3:00:00 PM,28.35,INDIANA.HUB
10/27/2018 3:00:00 PM,27.21,LOUISIANA.HUB
10/27/2018 3:00:00 PM,29.04,MICHIGAN.HUB
10/27/2018 3:00:00 PM,26.37,MINN.HUB
10/27/2018 3:00:00 PM,26.78,MS.HUB
10/27/2018 3:00:00 PM,27.68,TEXAS.HUB
10/27/2018 4:00:00 PM,27.1,ARKANSAS.HUB
10/27/2018 4:00:00 PM,28.16,ILLINOIS.HUB
10/27/2018 4:00:00 PM,29.13,INDIANA.HUB
10/27/2018 4:00:00 PM,27.92,LOUISIANA.HUB
10/27/2018 4:00:00 PM,29.85,MICHIGAN.HUB
10/27/2018 4:00:00 PM,26.3,MINN.HUB
10/27/2018 4:00:00 PM,27.44,MS.HUB
10/27/2018 4:00:00 PM,28.46,TEXAS.HUB
10/27/2018 5:00:00 PM,30.4,ARKANSAS.HUB
10/27/2018 5:00:00 PM,31.95,ILLINOIS.HUB
10/27/2018 5:00:00 PM,33.05,INDIANA.HUB
10/27/2018 5:00:00 PM,31.2,LOUISIANA.HUB
10/27/2018 5:00:00 PM,34.13,MICHIGAN.HUB
10/27/2018 5:00:00 PM,29.3,MINN.HUB
10/27/2018 5:00:00 PM,30.81,MS.HUB
10/27/2018 5:00:00 PM,31.4,TEXAS.HUB
10/27/2018 6:00:00 PM,27.48,ARKANSAS.HUB
10/27/2018 6:00:00 PM,29.11,ILLINOIS.HUB
10/27/2018 6:00:00 PM,29.94,INDIANA.HUB
10/27/2018 6:00:00 PM,28.19,LOUISIANA.HUB
10/27/2018 6:00:00 PM,30.78,MICHIGAN.HUB
10/27/2018 6:00:00 PM,26.32,MINN.HUB
10/27/2018 6:00:00 PM,27.85,MS.HUB
10/27/2018 6:00:00 PM,28.2,TEXAS.HUB
10/27/2018 7:00:00 PM,25.86,ARKANSAS.HUB
10/27/2018 7:00:00 PM,27.35,ILLINOIS.HUB
10/27/2018 7:00:00 PM,28.13,INDIANA.HUB
10/27/2018 7:00:00 PM,26.67,LOUISIANA.HUB
10/27/2018 7:00:00 PM,28.92,MICHIGAN.HUB
10/27/2018 7:00:00 PM,24.48,MINN.HUB
10/27/2018 7:00:00 PM,26.27,MS.HUB
10/27/2018 7:00:00 PM,26.56,TEXAS.HUB
10/27/2018 8:00:00 PM,23.8,ARKANSAS.HUB
10/27/2018 8:00:00 PM,27.24,ILLINOIS.HUB
10/27/2018 8:00:00 PM,26.05,INDIANA.HUB
10/27/2018 8:00:00 PM,24.64,LOUISIANA.HUB
10/27/2018 8:00:00 PM,26.96,MICHIGAN.HUB
10/27/2018 8:00:00 PM,21.43,MINN.HUB
10/27/2018 8:00:00 PM,24.27,MS.HUB
10/27/2018 8:00:00 PM,24.6,TEXAS.HUB
10/27/2018 9:00:00 PM,22.59,ARKANSAS.HUB
10/27/2018 9:00:00 PM,25.85,ILLINOIS.HUB
10/27/2018 9:00:00 PM,24.92,INDIANA.HUB
10/27/2018 9:00:00 PM,23.44,LOUISIANA.HUB
10/27/2018 9:00:00 PM,25.82,MICHIGAN.HUB
10/27/2018 9:00:00 PM,20.89,MINN.HUB
10/27/2018 9:00:00 PM,23.14,MS.HUB
10/27/2018 9:00:00 PM,23.42,TEXAS.HUB
10/27/2018 10:00:00 PM,21.3,ARKANSAS.HUB
10/27/2018 10:00:00 PM,26.43,ILLINOIS.HUB
10/27/2018 10:00:00 PM,23.68,INDIANA.HUB
10/27/2018 10:00:00 PM,22.11,LOUISIANA.HUB
10/27/2018 10:00:00 PM,24.52,MICHIGAN.HUB
10/27/2018 10:00:00 PM,18.53,MINN.HUB
10/27/2018 10:00:00 PM,21.85,MS.HUB
10/27/2018 10:00:00 PM,21.97,TEXAS.HUB
10/27/2018 11:00:00 PM,20.73,ARKANSAS.HUB
10/27/2018 11:00:00 PM,26.43,ILLINOIS.HUB
10/27/2018 11:00:00 PM,23.56,INDIANA.HUB
10/27/2018 11:00:00 PM,21.49,LOUISIANA.HUB
10/27/2018 11:00:00 PM,26.16,MICHIGAN.HUB
10/27/2018 11:00:00 PM,17.56,MINN.HUB
10/27/2018 11:00:00 PM,21.33,MS.HUB
10/27/2018 11:00:00 PM,21.25,TEXAS.HUB
10/28/2018 1:00:00 AM,19.79,ARKANSAS.HUB
10/28/2018 1:00:00 AM,19.46,ILLINOIS.HUB
10/28/2018 1:00:00 AM,25.59,INDIANA.HUB
10/28/2018 1:00:00 AM,21.08,LOUISIANA.HUB
10/28/2018 1:00:00 AM,27.35,MICHIGAN.HUB
10/28/2018 1:00:00 AM,12.44,MINN.HUB
10/28/2018 1:00:00 AM,21.09,MS.HUB
10/28/2018 1:00:00 AM,20.53,TEXAS.HUB
10/28/2018 2:00:00 AM,20.17,ARKANSAS.HUB
10/28/2018 2:00:00 AM,26.73,ILLINOIS.HUB
10/28/2018 2:00:00 AM,24.99,INDIANA.HUB
10/28/2018 2:00:00 AM,21.29,LOUISIANA.HUB
10/28/2018 2:00:00 AM,26.01,MICHIGAN.HUB
10/28/2018 2:00:00 AM,12.88,MINN.HUB
10/28/2018 2:00:00 AM,21.28,MS.HUB
10/28/2018 2:00:00 AM,20.8,TEXAS.HUB
10/28/2018 3:00:00 AM,32.88,ILLINOIS.HUB
10/28/2018 3:00:00 AM,23.23,INDIANA.HUB
10/28/2018 3:00:00 AM,23.96,MICHIGAN.HUB
10/28/2018 3:00:00 AM,10.68,MINN.HUB
10/28/2018 3:00:00 AM,20.27,ARKANSAS.HUB
10/28/2018 3:00:00 AM,20.89,LOUISIANA.HUB
10/28/2018 3:00:00 AM,20.89,MS.HUB
10/28/2018 3:00:00 AM,20.71,TEXAS.HUB
10/28/2018 4:00:00 AM,24.87,ILLINOIS.HUB
10/28/2018 4:00:00 AM,22.47,INDIANA.HUB
10/28/2018 4:00:00 AM,23.36,MICHIGAN.HUB
10/28/2018 4:00:00 AM,10.17,MINN.HUB
10/28/2018 4:00:00 AM,18.55,ARKANSAS.HUB
10/28/2018 4:00:00 AM,19.23,LOUISIANA.HUB
10/28/2018 4:00:00 AM,19.36,MS.HUB
10/28/2018 4:00:00 AM,19.07,TEXAS.HUB
10/28/2018 5:00:00 AM,31.6,ILLINOIS.HUB
10/28/2018 5:00:00 AM,22.15,INDIANA.HUB
10/28/2018 5:00:00 AM,22.82,MICHIGAN.HUB
10/28/2018 5:00:00 AM,11.95,MINN.HUB
10/28/2018 5:00:00 AM,19.93,ARKANSAS.HUB
10/28/2018 5:00:00 AM,20.45,LOUISIANA.HUB
10/28/2018 5:00:00 AM,20.32,MS.HUB
10/28/2018 5:00:00 AM,20.4,TEXAS.HUB
10/28/2018 6:00:00 AM,21.76,ARKANSAS.HUB
10/28/2018 6:00:00 AM,24.86,ILLINOIS.HUB
10/28/2018 6:00:00 AM,25.5,INDIANA.HUB
10/28/2018 6:00:00 AM,22.58,LOUISIANA.HUB
10/28/2018 6:00:00 AM,26.5,MICHIGAN.HUB
10/28/2018 6:00:00 AM,16.09,MINN.HUB
10/28/2018 6:00:00 AM,22.45,MS.HUB
10/28/2018 6:00:00 AM,22.3,TEXAS.HUB
10/28/2018 7:00:00 AM,21.12,ARKANSAS.HUB
10/28/2018 7:00:00 AM,21.34,ILLINOIS.HUB
10/28/2018 7:00:00 AM,24.35,INDIANA.HUB
10/28/2018 7:00:00 AM,21.86,LOUISIANA.HUB
10/28/2018 7:00:00 AM,25.32,MICHIGAN.HUB
10/28/2018 7:00:00 AM,22.56,MINN.HUB
10/28/2018 7:00:00 AM,21.71,MS.HUB
10/28/2018 7:00:00 AM,21.68,TEXAS.HUB
10/28/2018 8:00:00 AM,22.9,ARKANSAS.HUB
10/28/2018 8:00:00 AM,22.74,ILLINOIS.HUB
10/28/2018 8:00:00 AM,27.51,INDIANA.HUB
10/28/2018 8:00:00 AM,23.96,LOUISIANA.HUB
10/28/2018 8:00:00 AM,28.97,MICHIGAN.HUB
10/28/2018 8:00:00 AM,21.87,MINN.HUB
10/28/2018 8:00:00 AM,23.81,MS.HUB
10/28/2018 8:00:00 AM,23.47,TEXAS.HUB
10/28/2018 9:00:00 AM,22.45,ARKANSAS.HUB
10/28/2018 9:00:00 AM,22.51,ILLINOIS.HUB
10/28/2018 9:00:00 AM,25.89,INDIANA.HUB
10/28/2018 9:00:00 AM,23.44,LOUISIANA.HUB
10/28/2018 9:00:00 AM,27.07,MICHIGAN.HUB
10/28/2018 9:00:00 AM,21.5,MINN.HUB
10/28/2018 9:00:00 AM,23.21,MS.HUB
10/28/2018 9:00:00 AM,23.13,TEXAS.HUB
10/28/2018 10:00:00 AM,22.36,ARKANSAS.HUB
10/28/2018 10:00:00 AM,21.6,ILLINOIS.HUB
10/28/2018 10:00:00 AM,26.18,INDIANA.HUB
